"","movieTitle","score","regDate","wom"
"3677","토처드",7,"2012-12-23","7.0영화 ""7 데이즈"" 하고 비슷한데, 7데이즈는 7살?딸이 성폭행과 강간으로 죽은거고, 이 영화는 정신장애자가 6살 소년을 고문으로 죽여서,25년 가석방 가능한 종신형 선고를 받아..10년뒤 가석방으로 나올지도 모른다는 생각에 아이의 부모가 중간에 범인을 빼돌려서 영화 제목대로 고문한다는 내용이다. 끝에 반전이 있네요                    "
"990","국제시장",9,"2015-01-03","9.09                    "
"6526","레미제라블",10,"2013-01-19","10.0잔잔한 감동에 눈물이 멈추질 않네요..                    "
"7280","피끓는 청춘",8,"2014-01-23","8.0생각했던것보다 폭력적인 부분이 좀 있어서 당황했지만, 영화 전반에 깔린 따뜻하고 순박한 느낌이 좋았습니다. 홍천 시골마을의 피끓는 청춘들의 이야기, 가벼운 마음으로 보기 좋은 영화네요.                    "
"3188","해무",9,"2014-12-27","9.0오랜만에 잘 만든 한국영화다. 박유천의 재발견. 자신이 살기위해 인간의 잔인함은 끝이 없다.                    "
"4873","소스 코드",9,"2013-02-16","9.0신선한내용... 훌륭한 스토리                    "
"7006","드라큘라: 전설의 시작",9,"2015-02-26","9.0이런 드라큐라 영화 완전 볼만함. 감동적임                    "
"7883","내 남자의 아내도 좋아",5,"2014-02-18","5.0거장들이 나이가 들면 대담해지거나 망측해지거나 둘 중 하나야.                    "
"2645","엑소더스: 신들과 왕들",10,"2014-12-15","10.0재밌네.                    "
"7398","천안함 프로젝트",10,"2013-09-07","10.0손바닥으론 하늘을 가릴수없다                    "
"6612","공모자들",10,"2013-03-09","10.0우리는 알아야 합니다. 이런 사건으로 희생된 무고한 생명들이 있음을...                     "
"5333","꼬마 니콜라",9,"2014-02-03","9.0아이들이 너무 귀여워서 보는 내내 재밌게 봤네요                    "
"4203","스타트렉 다크니스",10,"2013-06-02","10.0몰입도 쵝오~ 스케일쵝오~ 한시라도 눈을 뗄수없습니다~ 강추입니다~                    "
"8035","이블 데드",9,"2014-02-08","9.0쓰레기 같은 오리지널 3편(암흑의 군단)을 제외한 이블데드 1,2편의 팬으로 리메이크한 이번편 제법 무서웠고 괜찮았다고 생각합니다. 데이비드가 악마도 변한 여동생 미아에게 왜 그렇게나 집착하는지 좀 이해하긴 어려웠지만 그러는데는 나름 이유는 있었던...마지막 전기톱 장면에서 살짝 더미 티가 나서 1점은 마이너스                    "
"977","신세계",5,"2013-02-22","5.0무간도 짝퉁. 원래 이정재는 건달이였음. 너무 뻔했음 그러나 베를린보다는 낫다. 분노의 윤리학도 괜찮음                     [1]                    "
